"text,type,deck,level,intensity,is_indian_specific,is_solo"
"('Name a street food from your region you’d tell everyone to try.', 'truth', 'strangers', 'icebreaker', 'mild', true, false),"
"('What’s a childhood game you’d still win at?', 'truth', 'strangers', 'icebreaker', 'mild', false, false),"
"('Share a quirky skill you learned at school that you still use.', 'truth', 'strangers', 'icebreaker', 'mild', false, false),"
"('If you could star in a Bollywood movie, which role would you want?', 'truth', 'strangers', 'icebreaker', 'mild', true, false),"
"('What’s a song you’d blast to get the party started?', 'truth', 'strangers', 'icebreaker', 'mild', false, false),"
"('Describe a festival dish from your hometown that’s pure joy.', 'truth', 'strangers', 'icebreaker', 'mild', true, false),"
"('What’s the silliest nickname you’ve ever been called?', 'truth', 'strangers', 'icebreaker', 'mild', false, false),"
"('Tell us about a funny nickname you’ve heard in your regional language.', 'truth', 'strangers', 'icebreaker', 'mild', true, false),"
"('What''s a gadget you can’t imagine living without.', 'truth', 'strangers', 'icebreaker', 'mild', false, false),"
"('What’s a hometown tradition you’re proud to share?', 'truth', 'strangers', 'icebreaker', 'mild', true, false),"
"('Tell us about a cartoon you still secretly watch.', 'truth', 'strangers', 'icebreaker', 'mild', false, false),"
"('Share a quirky work hack you’re known for at your job.', 'truth', 'strangers', 'icebreaker', 'mild', false, false),"
"('What’s a regional sweet you’d trade anything for?', 'truth', 'strangers', 'icebreaker', 'mild', true, false),"
"('If you could travel anywhere for a day, where’d you go?', 'truth', 'strangers', 'icebreaker', 'mild', false, false),"
"('Describe a family recipe you’d love to feed everyone.', 'truth', 'strangers', 'icebreaker', 'mild', false, false),"
"('What’s the most random food craving you’ve ever had?', 'truth', 'strangers', 'icebreaker', 'mild', false, false),"
"('What''s a quirky habit you picked up from your family.', 'truth', 'strangers', 'icebreaker', 'mild', false, false),"
"('Name a festival prop you’d turn into home decor.', 'truth', 'strangers', 'icebreaker', 'mild', true, false),"
"('What''s a hilarious saying from your region you love to drop?', 'truth', 'strangers', 'icebreaker', 'mild', true, false),"
"('Tell us about the coolest street market you’ve explored.', 'truth', 'strangers', 'icebreaker', 'mild', false, false),"
"('What''s a song that always gets you singing in the shower?', 'truth', 'strangers', 'icebreaker', 'mild', false, false),"
"('Share a funny or interesting story from your first job.', 'truth', 'strangers', 'icebreaker', 'mild', false, false),"
"('If you could rename your city, what would you call it?', 'truth', 'strangers', 'icebreaker', 'mild', false, false),"
"('What’s a food you’d eat every day if you could?', 'truth', 'strangers', 'icebreaker', 'mild', false, false),"
"('What''s a fun fact about your hometown you love to share.', 'truth', 'strangers', 'icebreaker', 'mild', true, false),"
"('What’s a festival snack you’d eat all year round?', 'truth', 'strangers', 'icebreaker', 'mild', true, false),"
"('Name a movie you’ve watched way too many times.', 'truth', 'strangers', 'icebreaker', 'mild', false, false),"
"('Share a productivity hack from work.', 'truth', 'strangers', 'icebreaker', 'mild', false, false),"
"('If you had to dance on a Bollywood song, which one would it be?', 'truth', 'strangers', 'icebreaker', 'mild', true, false),"
"('What’s a toy from your childhood you wish you still had?', 'truth', 'strangers', 'icebreaker', 'mild', false, false),"
"('Tell us about a regional tradition that makes you proud.', 'truth', 'strangers', 'icebreaker', 'mild', true, false),"
"('What’s the most random app cluttering your phone?', 'truth', 'strangers', 'icebreaker', 'mild', false, false),"
"('What''s a funny thing your Mom says or does?', 'truth', 'strangers', 'icebreaker', 'mild', false, false),"
"('What''s a street food stall you’d wait hours for?', 'truth', 'strangers', 'icebreaker', 'mild', false, false),"
"('What’s a sport you’d try if you had no fear?', 'truth', 'strangers', 'icebreaker', 'mild', false, false),"
"('Share a fun fact about your city you always tell friends.', 'truth', 'strangers', 'icebreaker', 'mild', false, false),"
"('If you could invent a festival, what would it celebrate?', 'truth', 'strangers', 'icebreaker', 'mild', true, false),"
"('What’s something quirky about your workplace?', 'truth', 'strangers', 'icebreaker', 'mild', false, false),"
"('Tell us about your favorite regional sweet.', 'truth', 'strangers', 'icebreaker', 'mild', true, false),"
"('What’s the funniest billboard you’ve ever seen?', 'truth', 'strangers', 'icebreaker', 'mild', false, false),"
"('Share a lesson from school that’s stuck with you forever.', 'truth', 'strangers', 'icebreaker', 'mild', false, false),"
"('Describe your favorite childhood food memory.', 'truth', 'strangers', 'icebreaker', 'mild', false, false),"
"('What’s a place you’d sneak into just for fun?', 'truth', 'strangers', 'icebreaker', 'mild', false, false),"
"('Tell us about a sci-fi movie you’d love to star in.', 'truth', 'strangers', 'icebreaker', 'mild', false, false),"
"('What''s your favourite spot in your hometown?', 'truth', 'strangers', 'icebreaker', 'mild', true, false),"
"('What’s a jingle that’s stuck in your head forever?', 'truth', 'strangers', 'icebreaker', 'mild', false, false),"
"('Tell us about a street performer who blew your mind.', 'truth', 'strangers', 'icebreaker', 'mild', false, false),"
"('Tell us about a family member who’s always cracking you up.', 'truth', 'strangers', 'icebreaker', 'mild', false, false),"
"('What’s a regional craft or art you’d love to try?', 'truth', 'strangers', 'icebreaker', 'mild', true, false),"
"('What''s your favourite junk food?.', 'truth', 'strangers', 'icebreaker', 'mild', false, false),"
"('Describe the most chaotic train journey you’ve ever been on.', 'truth', 'strangers', 'icebreaker', 'moderate', true, false),"
"('What’s the most over-the-top thing you’ve done for a crush?', 'truth', 'strangers', 'icebreaker', 'moderate', false, false),"
"('Share a funny entrance exam prep story.', 'truth', 'strangers', 'icebreaker', 'moderate', true, false),"
"('Tell us about the funniest WhatsApp group mix-up you’ve seen.', 'truth', 'strangers', 'icebreaker', 'moderate', true, false),"
"('What’s a regional stereotype you secretly find spot-on?', 'truth', 'strangers', 'icebreaker', 'moderate', true, false),"
"('Where’s the wildest spot you’ve hit it off with a new friend?', 'truth', 'strangers', 'icebreaker', 'moderate', false, false),"
"('Describe a festival moment that left you speechless.', 'truth', 'strangers', 'icebreaker', 'moderate', true, false),"
