level,intensity,text,category
1,1,"If you could have dinner with any historical figure, who would it be and why?","Icebreaker"
1,1,"What's one skill you wish you had learned earlier in life?","Icebreaker"
1,1,"If you could travel anywhere in the world right now, where would you go and why?","Icebreaker"
1,1,"What's your favorite way to spend a rainy day?","Icebreaker"
1,1,"What would your perfect day look like from start to finish?","Icebreaker"
1,2,"What's a popular opinion you strongly disagree with?","Icebreaker"
1,2,"What's the best piece of advice you've ever received?","Icebreaker"
1,2,"If you could have any superpower, what would it be and how would you use it?","Icebreaker"
1,3,"What's one thing that's on your bucket list that might surprise people?","Icebreaker"
1,3,"What's the most spontaneous thing you've ever done?","Icebreaker"
2,1,"What's something you're proud of that you don't often get to talk about?","Getting to Know You"
2,1,"What's a small, everyday thing that brings you joy?","Getting to Know You"
2,1,"What hobby or activity did you love as a child that you no longer do?","Getting to Know You"
2,2,"What's a belief or value you hold that has changed significantly over time?","Getting to Know You"
2,2,"What's something you've accomplished that you once thought was impossible?","Getting to Know You"
2,2,"What's a fear you've overcome or are working to overcome?","Getting to Know You"
2,3,"What's something that deeply moved you or changed your perspective?","Getting to Know You"
2,3,"What's a meaningful connection or relationship that shaped who you are today?","Getting to Know You"
3,1,"What values or principles do you try to live by?","Deeper Dive"
3,1,"What's something you're still figuring out in life?","Deeper Dive"
3,1,"What's a life lesson you learned the hard way?","Deeper Dive"
3,2,"What's something you're passionate about that you wish more people understood?","Deeper Dive"
3,2,"In what ways are you different from the person you were five years ago?","Deeper Dive"
3,2,"What's a personal belief or value you hold that might be controversial?","Deeper Dive"
3,3,"What's a moment in your life where you felt truly vulnerable?","Deeper Dive"
3,3,"What's something you're still healing from or working through?","Deeper Dive"
3,3,"What's a deeply held fear that influences your decisions?","Deeper Dive"
